Date,Price,Open,High,Low,Vol.,Change %,,Time,
2019/11/19,"2,284.85","2,285.02","2,290.09","2,280.67",-,-0.04%,,2019/8/19,2131.81
2019/11/20,"2,274.92","2,283.22","2,283.89","2,267.23",-,-0.43%,,2019/8/20,2119.57
2019/11/21,"2,270.36","2,275.52","2,275.52","2,264.90",-,-0.20%,,2019/8/21,2135.52
2019/11/22,"2,273.89","2,269.62","2,277.42","2,268.76",-,0.16%,,2019/8/22,2131.68
2019/11/25,"2,290.65","2,273.60","2,290.70","2,273.55",-,0.74%,,2019/8/23,2094.63
2019/11/26,"2,294.78","2,291.85","2,296.56","2,290.13",-,0.18%,,2019/8/24,#N/A
2019/11/27,"2,302.67","2,295.47","2,302.84","2,295.40",-,0.34%,,2019/8/25,#N/A
2019/11/28,"2,301.79","2,303.25","2,303.72","2,301.10",-,-0.04%,,2019/8/26,2105.22
2019/11/29,"2,292.26","2,302.10","2,302.86","2,291.62",-,-0.41%,,2019/8/27,2104.85
2019/12/2,"2,276.40","2,291.89","2,296.59","2,274.80",-,-0.69%,,2019/8/28,2111.92
2019/12/3,"2,263.10","2,276.79","2,277.24","2,250.88",-,-0.58%,,2019/8/29,2133.08
2019/12/4,"2,275.47","2,262.84","2,278.44","2,260.39",-,0.55%,,2019/8/30,2138.52
2019/12/5,"2,278.63","2,275.40","2,281.48","2,272.51",-,0.14%,,2019/8/31,#N/A
2019/12/6,"2,296.39","2,279.14","2,299.53","2,279.12",-,0.78%,,2019/9/1,#N/A
2019/12/9,"2,292.58","2,298.68","2,300.00","2,292.35",-,-0.17%,,2019/9/2,2136.58
2019/12/10,"2,289.67","2,292.34","2,294.45","2,285.65",-,-0.13%,,2019/9/3,2126.92
2019/12/11,"2,295.02","2,289.37","2,298.87","2,288.04",-,0.23%,,2019/9/4,2149.8
2019/12/12,"2,309.36","2,297.33","2,316.07","2,295.80",-,0.62%,,2019/9/5,2174.27
2019/12/13,"2,319.73","2,314.50","2,329.51","2,313.38",-,0.45%,,2019/9/6,2178.9
2019/12/16,"2,337.45","2,319.52","2,341.11","2,319.52",-,0.76%,,2019/9/7,#N/A
2019/12/17,"2,336.62","2,336.95","2,339.03","2,335.06",-,-0.04%,,2019/9/8,#N/A
2019/12/18,"2,333.28","2,336.47","2,337.94","2,333.11",-,-0.14%,,2019/9/9,2178.41
2019/12/19,"2,340.65","2,333.18","2,341.03","2,331.51",-,0.32%,,2019/9/10,2179.43
2019/12/20,"2,349.87","2,340.72","2,351.09","2,339.24",-,0.39%,,2019/9/11,2194.42
2019/12/23,"2,350.75","2,349.13","2,352.75","2,348.65",-,0.04%,,2019/9/12,2201.81
2019/12/24,"2,351.84","2,351.47","2,352.21","2,349.49",-,0.05%,,2019/9/13,2205.81
2019/12/25,"2,351.22","2,351.31","2,351.73","2,349.92",-,-0.03%,,2019/9/14,#N/A
